"ticketing_stop_id","stop_id","agency_id"
"de:09162:1070:5:5","de:09162:1070:5:5","1"
"de:09162:1070:51:51","de:09162:1070:51:51","1"
"de:09162:1070:51:52","de:09162:1070:51:52","1"
"de:09162:108:1:1","de:09162:108:1:1","1"
"de:09162:108:2:2","de:09162:108:2:2","1"
"de:09162:108:3:3","de:09162:108:3:3","1"
"de:09162:109:3:FRD 1","de:09162:109:3:FRD 1","1"
"de:09162:11:1:1","de:09162:11:1:1","1"
"de:09162:11:2:2","de:09162:11:2:2","1"
"de:09162:11:3:3","de:09162:11:3:3","1"
"de:09162:11:3:4","de:09162:11:3:4","1"
"de:09162:110:1:1","de:09162:110:1:1","1"
"de:09162:110:2:2","de:09162:110:2:2","1"
"de:09162:110:51:51","de:09162:110:51:51","1"
"de:09162:110:51:52","de:09162:110:51:52","1"
"de:09162:1100:31:61","de:09162:1100:31:61","1"
"de:09162:1100:31:62","de:09162:1100:31:62","1"
"de:09162:1100:41:81","de:09162:1100:41:81","1"
"de:09162:1100:41:82","de:09162:1100:41:82","1"
"de:09162:1101:3:GBR 1","de:09162:1101:3:GBR 1","1"
"de:09162:1101:3:GBR 2","de:09162:1101:3:GBR 2","1"
"de:09162:1102:1:1","de:09162:1102:1:1","1"
"de:09162:1102:2:2","de:09162:1102:2:2","1"
"de:09162:1102:3:3","de:09162:1102:3:3","1"
"de:09162:1102:4:4","de:09162:1102:4:4","1"
"de:09162:1102:5:5","de:09162:1102:5:5","1"
"de:09162:1102:7:7","de:09162:1102:7:7","1"
"de:09162:1103:1:1","de:09162:1103:1:1","1"
"de:09162:1103:2:2","de:09162:1103:2:2","1"
"de:09162:1104:1:1","de:09162:1104:1:1","1"
"de:09162:1104:2:2","de:09162:1104:2:2","1"
"de:09162:1105:1:1","de:09162:1105:1:1","1"
"de:09162:1105:2:2","de:09162:1105:2:2","1"
"de:09162:1105:4:4","de:09162:1105:4:4","1"
"de:09162:1105:5:5","de:09162:1105:5:5","1"
"de:09162:1106:2:1","de:09162:1106:2:1","1"
"de:09162:1106:2:2","de:09162:1106:2:2","1"
"de:09162:1107:1:1","de:09162:1107:1:1","1"
"de:09162:1107:2:2","de:09162:1107:2:2","1"
"de:09162:1107:3:3","de:09162:1107:3:3","1"
"de:09162:1107:4:4","de:09162:1107:4:4","1"
"de:09162:1108:1:1","de:09162:1108:1:1","1"
"de:09162:1108:2:2","de:09162:1108:2:2","1"
"de:09162:1108:3:3","de:09162:1108:3:3","1"
"de:09162:1108:4:4","de:09162:1108:4:4","1"
"de:09162:1108:5:5","de:09162:1108:5:5","1"
"de:09162:1108:6:6","de:09162:1108:6:6","1"
"de:09162:1109:1:1","de:09162:1109:1:1","1"
"de:09162:1109:2:2","de:09162:1109:2:2","1"
"de:09162:1109:3:3","de:09162:1109:3:3","1"
"de:09162:111:2:REG 1","de:09162:111:2:REG 1","1"
"de:09162:111:2:REG 2","de:09162:111:2:REG 2","1"
"de:09162:111:3:REG 3","de:09162:111:3:REG 3","1"
"de:09162:111:3:REG 4","de:09162:111:3:REG 4","1"
"de:09162:1110:1:1","de:09162:1110:1:1","1"
"de:09162:1110:1:2","de:09162:1110:1:2","1"
"de:09162:1110:2:11","de:09162:1110:2:11","1"
"de:09162:1110:2:16","de:09162:1110:2:16","1"
"de:09162:1110:3:13","de:09162:1110:3:13","1"
"de:09162:1110:3:14","de:09162:1110:3:14","1"
"de:09162:1110:3:15","de:09162:1110:3:15","1"
